City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,cabo san lucas,22.8909,-109.9124,26.17,36.0,0,3.09,MX,1738791670
309,darwin,-12.4611,130.8418,24.99,100.0,0,1.54,AU,1738792049
320,selebi-phikwe,-21.979,27.8498,25.17,41.0,0,2.42,BW,1738792063
408,st. marys,30.7305,-81.5465,26.14,67.0,0,3.09,US,1738792170
449,xai-xai,-25.0519,33.6442,24.45,79.0,0,4.37,MZ,1738792218
486,ak'ordat,15.5486,37.8867,24.7,52.0,0,3.11,ER,1738792261
525,muddebihal,16.3333,76.1333,21.55,43.0,0,3.71,IN,1738792308
